CensusTract,County,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IMPUTED
36081099704,Queens,Queens,7240,3200,4040,11.7,65.6,0.7,0.0,21.2,5417,67131.0,False
36081099705,Queens,Queens,2720,1418,1302,7.0,61.2,0.0,1.4,28.5,1816,71310.0,False
36081099801,Queens,Queens,7455,3279,4176,20.9,9.0,64.1,0.0,4.9,4394,61434.0,False
36081099802,Queens,Queens,5391,2244,3147,13.5,18.5,64.7,0.0,2.4,3599,34287.0,False
36081100801,Queens,Queens,2277,1061,1216,17.3,45.7,33.7,0.0,0.6,1398,75800.0,False
36081100802,Queens,Queens,9029,4199,4830,32.1,21.1,42.2,0.0,1.4,4911,59544.0,False
36081101001,Queens,Queens,11028,5406,5622,39.0,24.6,29.9,0.0,5.4,6785,24703.0,False
36081101002,Queens,Queens,4311,2176,2135,5.7,79.1,14.6,0.0,0.3,2717,41172.0,False
36081101700,Queens,Queens,6078,2722,3356,10.7,67.5,0.5,0.0,18.9,4707,69891.0,False
36081102900,Queens,Queens,3714,1673,2041,23.1,60.1,1.8,0.0,13.5,2523,66574.0,False
36081103201,Queens,Queens,7161,2931,4230,35.1,0.5,56.7,0.0,6.9,3415,40399.0,False
36081103202,Queens,Queens,7195,3647,3548,34.3,37.2,23.2,1.5,1.1,3345,47935.0,False
36081103300,Queens,Queens,4044,2126,1918,10.1,65.1,0.2,1.0,19.1,2712,71917.0,False
36081103900,Queens,Queens,6734,3662,3072,13.5,54.8,0.0,0.0,31.5,4618,80830.0,False
36081104700,Queens,Queens,6664,2976,3688,13.8,44.6,0.1,0.5,35.1,4192,52264.0,False
36081105900,Queens,Queens,3881,1730,2151,2.9,58.9,0.0,0.0,34.4,2747,87064.0,False
36081107201,Queens,Queens,2112,995,1117,4.9,94.4,0.1,0.0,0.3,1633,71667.0,False
36081108500,Queens,Queens,2496,1165,1331,11.1,43.0,0.2,0.0,42.8,1721,66467.0,False
36081109300,Queens,Queens,3216,1544,1672,17.3,59.5,0.9,0.0,21.1,2358,95109.0,False
36081109700,Queens,Queens,1633,809,824,9.1,64.2,0.4,0.0,26.2,1203,100089.0,False
36081109900,Queens,Queens,3903,1829,2074,25.6,36.5,0.4,0.0,35.9,2565,76250.0,False
36081111300,Queens,Queens,2476,1182,1294,11.9,47.3,0.2,0.0,34.5,1706,79917.0,False
36081112300,Queens,Queens,2344,1203,1141,28.5,26.4,1.2,0.0,43.0,1267,72750.0,False
36081112900,Queens,Queens,2252,1016,1236,4.4,64.3,4.3,0.0,25.4,1539,90455.0,False
36081113300,Queens,Queens,1729,889,840,18.6,53.5,0.0,0.0,24.4,1176,76106.0,False
36081113900,Queens,Queens,3399,1707,1692,15.7,47.3,0.1,0.0,33.6,2141,60972.0,False
36081114100,Queens,Queens,2337,1070,1267,8.6,52.5,1.2,0.0,35.7,1833,111250.0,False
36081114700,Queens,Queens,1802,872,930,13.3,50.4,1.1,0.0,31.9,1242,74861.0,False
36081115100,Queens,Queens,1189,610,579,9.4,49.1,0.0,0.0,38.6,815,70404.0,False
36081115500,Queens,Queens,2350,1138,1212,28.9,15.3,0.0,0.7,53.2,1072,71250.0,False
36081115700,Queens,Queens,3515,1711,1804,3.2,24.8,2.5,0.0,68.6,2128,53636.0,False
36081115900,Queens,Queens,4340,2121,2219,13.6,10.0,2.6,0.0,73.3,1986,60469.0,False
36081116100,Queens,Queens,4657,2339,2318,21.5,8.3,3.8,0.0,64.1,2442,47432.0,False
36081116300,Queens,Queens,9062,4421,4641,12.4,9.0,4.7,0.0,71.7,4415,36127.0,False
36081116700,Queens,Queens,1990,980,1010,29.8,9.8,1.1,0.8,58.2,805,37356.0,False
36081117100,Queens,Queens,2813,1443,1370,31.4,22.6,1.2,0.0,38.0,1348,40508.0,False
36081117500,Queens,Queens,5027,2395,2632,12.7,35.2,0.3,0.0,51.8,3197,63670.0,False
36081118100,Queens,Queens,1577,737,840,9.9,40.3,4.1,0.5,42.5,1006,66484.0,False
36081118500,Queens,Queens,2186,1145,1041,28.8,13.8,1.7,0.0,55.8,1009,51731.0,False
36081118700,Queens,Queens,2404,1181,1223,26.2,14.0,0.1,0.0,57.0,1272,42222.0,False
36081118900,Queens,Queens,2556,1281,1275,11.5,8.5,0.0,0.0,80.0,1367,70938.0,False
36081119100,Queens,Queens,3420,1712,1708,32.1,6.3,0.0,0.0,58.0,1307,56313.0,False
36081119300,Queens,Queens,2079,1054,1025,13.2,22.2,2.6,0.0,61.1,1028,47578.0,False
36081119500,Queens,Queens,1412,742,670,23.9,30.7,3.0,0.0,40.4,887,81618.0,False
36081119900,Queens,Queens,1520,832,688,9.1,18.9,3.2,0.0,64.0,976,70268.0,False
36081120100,Queens,Queens,1617,811,806,11.6,13.0,0.4,0.0,74.5,841,44336.0,False
36081120300,Queens,Queens,1734,872,862,9.4,20.4,0.0,0.0,68.7,817,60625.0,False
36081120500,Queens,Queens,2747,1343,1404,5.3,4.8,1.2,0.7,77.5,1520,24583.0,False
36081120700,Queens,Queens,2781,1394,1387,21.5,32.0,0.5,0.6,42.9,1797,74464.0,False
36081121500,Queens,Queens,4434,2286,2148,22.1,13.1,1.3,0.0,63.1,2378,60106.0,False
36081122300,Queens,Queens,3556,1628,1928,9.0,39.7,0.2,0.0,47.5,2461,68864.0,False
36081122701,Queens,Queens,11789,5116,6673,29.7,28.2,6.0,0.0,34.7,7091,51045.0,False
36081122702,Queens,Queens,7007,3118,3889,31.7,23.9,30.3,0.2,13.3,4294,23194.0,False
36081124100,Queens,Queens,3148,1645,1503,5.3,36.9,9.1,0.0,46.3,2163,62285.0,False
36081124700,Queens,Queens,3442,1685,1757,6.8,59.7,1.5,0.0,32.0,2375,71790.0,False
36081125700,Queens,Queens,3298,1449,1849,7.9,18.4,8.7,0.0,60.8,1819,53667.0,False
36081126500,Queens,Queens,1517,742,775,16.3,29.3,11.7,0.0,34.6,1046,43750.0,False
36081126700,Queens,Queens,4616,2174,2442,19.0,35.6,13.1,0.0,28.0,3508,72434.0,False
36081127700,Queens,Queens,3528,1769,1759,2.8,75.1,8.8,0.0,13.2,2178,103472.0,False
36081128300,Queens,Queens,29,16,13,0.0,69.0,0.0,0.0,31.0,29,32188.0,False
36081129102,Queens,Queens,3578,1870,1708,6.1,57.7,0.1,0.0,30.7,2691,95875.0,False
36081129103,Queens,Queens,3877,1977,1900,6.6,60.2,2.3,0.0,30.0,3053,72143.0,False
36081129104,Queens,Queens,4241,1956,2285,5.7,43.6,3.0,0.0,42.6,3030,89527.0,False
36081130100,Queens,Queens,3984,1712,2272,19.0,37.6,17.6,0.0,20.5,2957,63189.0,False
36081133300,Queens,Queens,3626,1817,1809,13.7,47.8,1.7,0.0,35.7,2584,89856.0,False
36081133900,Queens,Queens,1315,600,715,10.6,51.2,0.2,0.0,31.3,991,101731.0,False
36081134100,Queens,Queens,3555,1726,1829,5.0,25.0,0.1,0.0,69.3,2141,81524.0,False
36081134700,Queens,Queens,10137,4987,5150,18.4,19.3,7.5,0.8,50.3,5805,58604.0,False
36081136700,Queens,Queens,6054,2531,3523,13.5,32.0,2.0,0.0,44.5,4004,61681.0,False
36081137700,Queens,Queens,6270,2901,3369,5.3,31.1,3.5,0.0,56.8,3867,61292.0,False
36081138501,Queens,Queens,4586,2318,2268,5.3,29.3,0.7,1.2,63.6,2825,65625.0,False
36081139900,Queens,Queens,1710,838,872,6.7,43.1,0.2,0.0,47.3,1307,95298.0,False
36081140300,Queens,Queens,2276,1054,1222,14.2,40.2,0.6,0.0,44.2,1704,76200.0,False
36081140901,Queens,Queens,958,499,459,9.8,32.5,1.5,0.0,56.2,658,88333.0,False
36081140902,Queens,Queens,3130,1511,1619,9.3,24.6,1.5,0.0,64.6,2059,102908.0,False
36081141700,Queens,Queens,4821,2384,2437,15.4,28.4,3.8,0.3,47.6,3433,79226.0,False
36081142900,Queens,Queens,3354,1699,1655,5.0,47.7,0.0,0.0,45.3,2461,72222.0,False
